Laemmale	PERSON
a damn half hour	TIME
Hermosa Beach	GPE
John please--	PERSON
MacDougal	PERSON
C. Sopranos	WORK_OF_ART
The Galloping Gladiator	WORK_OF_ART
Bubble-Yum	PERSON
Dennis O'Conner	PERSON
Mary Chain	PERSON
Charles the Maiden	PERSON
Big Sid	PERSON
Cambodia	GPE
the Museum of Natural History	ORG
Cobalt-Thorium-G	ORG
Half a Dirty Dozen	CARDINAL
Lane	PERSON
Twenty eight years ago	DATE
North Valle Colombia	LOC
Horowitz	PERSON
Tudor Swinburne	PERSON
DSS	ORG
EIGHT SECONDS	TIME
LZ	ORG
three-thirty in the morning	TIME
Aw Jesus	PERSON
Missus Canduso	PERSON
Finch	LOC
the Universal Sheraton	ORG
Liebe	PERSON
Cleveland	GPE
Mecklen	PERSON
OTV	ORG
South African	NORP
Hans	NORP
Training	GPE
Credit</u	PRODUCT
"""Finally Roberts decided something."	WORK_OF_ART
Hyde Park Corner	LOC
14 years old	DATE
Janet Jackson	PERSON
Ronnie Christened	PERSON
Two minutes	TIME
Fredrica Bimmel	ORG
Mary Jenson	PERSON
Alonzo	PERSON
"""Triumphant"	WORK_OF_ART
Butterfinger	PRODUCT
Kill Admiral Kirk	PERSON
Penns Grove	GPE
Ike Clanton Old	PERSON
twenty million dollars	MONEY
Henekin Kirin	PERSON
Scotty	GPE
Mayo	PERSON
slob	GPE
Wendy Hood	PERSON
Red Two	FAC
the All-Highs	FAC
Did Crawford	PERSON
Computer Station	ORG
Shadow	ORG
Homesick	PERSON
the next thousand	DATE
Yoni Yum	PERSON
Jamey Mack	PERSON
The five minutes	TIME
James Swarthout	PERSON
Jesus Ann	PERSON
Jesus Soap	PERSON
Japeth	NORP
3Jane	CARDINAL
Bellatrix	ORG
Fairview	ORG
Kaufman	PERSON
'Homecoming	WORK_OF_ART
Poseidon	PERSON
PAUL	PERSON
Joe Gunn	PERSON
one day Mothershead	DATE
Michigan	GPE
those four days	DATE
Two two-fifty	CARDINAL
7 cents	MONEY
Two o'clock	TIME
Season	DATE
eighty	DATE
kangaroo	PERSON
Lavallette	PERSON
SARAH Stop	PERSON
Looseleaf Harper	PERSON
Uncle Gussy	PERSON
Dumper	PERSON
Couple of days	DATE
Impeach Lyndon Johnson	PERSON
Hiya George	PERSON
Kenneth Fraser	PERSON
Blacksmith's Code	WORK_OF_ART
Commanders Chekov	ORG
Bontecou	PERSON
Elly Kedward	PERSON
the Kiber Crystal	ORG
five years ago	DATE
James G	PERSON
Jocelyn	PERSON
Sri Lanka	GPE
p.j.'s	GPE
Richie	PERSON
AFRICAN AMERICAN	NORP
eight thousand yards	QUANTITY
the Hood and Arthur Pendragon	ORG
Werner	PERSON
Kill Morpheus	PERSON
the early eighties	DATE
Ds	PERSON
two-hundred-ten grand	CARDINAL
Great Star Kills	FAC
I - Mike - wyncha	PERSON
E.S.U.	ORG
Burnside	ORG
Mrs Terrain	PERSON
Electromagentic	NORP
Arr	PERSON
Laval Madame	PERSON
about sixteen	CARDINAL
Telexed	NORP
secondary	ORDINAL
the Textile Logues	WORK_OF_ART
15 or twenty	CARDINAL
Ninotchka	GPE
David Stockman	PERSON
Rod Harbaugh	PERSON
the Head Office	ORG
Michael Francis	PERSON
117	CARDINAL
Fourteen-B.	CARDINAL
Five years	DATE
GordonÄÂĂÂ	PERSON
Nurse Humphries	PERSON
the Fall of	DATE
Gee I wish I were a man!	WORK_OF_ART
Chilton	PERSON
the Black Sea Fleet	ORG
C Infrared Sensitive Film	EVENT
A single hour	TIME
Ari Onasis	PERSON
SHOOT	ORG
Yurek	PERSON
Morning Tom	PERSON
Doo-Doo	PERSON
Hinckley	PERSON
state	ORG
1500	CARDINAL
1974	DATE
the National Park	LOC
Nineteen-sixty-seven	DATE
two-thirty three	TIME
Alvin MacCarron	PERSON
the ying-ying	FAC
Ear	PRODUCT
Constantinople	GPE
Department	ORG
Benthic Explorer Benthic Explorer	PERSON
Deveroux	PERSON
Underwater Flying Objects	ORG
Arlene	PERSON
only two weeks	DATE
a decade ago	DATE
the Criminal District Court Building	ORG
Simpson	ORG
My German's	PERSON
Confessions	PERSON
Good Time Charlie	PERSON
Entert-ain	PERSON
Fidel Castro	PERSON
MTV	LAW
Tibetan Erotic Art	FAC
Raggedy Anne	PERSON
a minute Sooze	WORK_OF_ART
Romaris	PERSON
Bonjour	PERSON
Clouds Kid	PERSON
Holy	PERSON
Ryan Lot's	PERSON
"""What's so fuckin' good about it?"	WORK_OF_ART
a few hours'	TIME
Six eight hours	TIME
Finis	PERSON
half past two this afternoon	DATE
Pecker	PERSON
PARAMUS	ORG
those last years	DATE
under four feet	QUANTITY
an Emerald Circle	PERSON
Cohn	PERSON
Aquarium	NORP
the Jurassic Period	EVENT
EIGHT	CARDINAL
Michael - I	PERSON
Five bucks	MONEY
Nicky Santoro	ORG
""" Give it to him."	WORK_OF_ART
I.	PRODUCT
A hundred grams	QUANTITY
mah head	PERSON
Shutup Ted	PERSON
Kenneth	PERSON
Evelyn	PERSON
Viktor	GPE
this Friday	DATE
Goddamn Mexico	GPE
Seventeen-year-old	DATE
Smirnoff Ices	ORG
these four days	DATE
$800000 dollar	MONEY
Hollis	PERSON
Europe Pacific	LOC
Rice Krispie	ORG
A habituÄÂĂÂ of cemeteries his proudest	WORK_OF_ART
Royce	PERSON
Shep Proudfoot	PERSON
Catlett	PERSON
ÄÂĂÂI	DATE
20	DATE
three-one	CARDINAL
Leo Bloom's	PERSON
Silvia	LOC
Natchez	PERSON
less than three miles	QUANTITY
Ray Gallagher	PERSON
the &quot;Genco Olive Oil	ORG
oriental	NORP
Drugged	PERSON
seventeen thousand	CARDINAL
Newport	GPE
Capital Records	ORG
Alan Albright	PERSON
Couer de Noir	PRODUCT
Basquiat	PERSON
Marcus	ORG
---fifteen	PERSON
Eddie Richter	PERSON
Harley	ORG
Cliff	ORG
Vince	GPE
Baum	ORG
Max Max	PERSON
John Hancock	PERSON
three day	DATE
Article 15	LAW
Sylvia Plath	PERSON
C-54	PRODUCT
over a thousand dollars	MONEY
Thirty meters	QUANTITY
Tribuus	GPE
Riverhead Veterans Psychiatric	FAC
Harold Robbins	PERSON
note'll	ORG
JAG	PERSON
the Roto-Rooter	ORG
the Arizona Cardinals	ORG
forty percent	PERCENT
Trammel	PERSON
W-W-	PERSON
SB-9	ORG
six years old	DATE
eight hours ago	TIME
Codfish	PERSON
a couple of billion years old	DATE
31	DATE
Da Vinci's	ORG
Hector</u	PRODUCT
Florence	PRODUCT
four years ago	DATE
Sushi	PERSON
316	CARDINAL
a very difficult day	DATE
around midnight	TIME
Striker	ORG
Carpathian	NORP
immediately--*today	DATE
Penthouse'll be Hustler	ORG
Meng Si Zhao	PERSON
OOOOOOWUOOOOOOOO	ORG
Fifty dollars	MONEY
Mickey Mickey	PERSON
Just a minute ago	TIME
the V.A. Thanks	FAC
Winston-Hughes	FAC
Lincoln Brigade	ORG
"""Vicki"	WORK_OF_ART
Fausto	PERSON
Levene	PERSON
James Leer	PERSON
Sanderson	PERSON
two 8 to 10 years	DATE
Twelve dollars	MONEY
the Evening News	ORG
Montana	WORK_OF_ART
Geez	ORG
a quarter to five	CARDINAL
My throat's	PERSON
Krylovian	NORP
Huron	ORG
Neo-Senephrened	PERSON
Merk	PERSON
my few pennies	MONEY
Sheriden	GPE
LeSabre	ORG
Citizen Kane	WORK_OF_ART
Buck Rogers	PERSON
Pharaohs	PERSON
writin	PERSON
Icky	PERSON
Greenwich	PERSON
Moran	DATE
Scooter	PERSON
a Green Light	PRODUCT
Concorde	PERSON
Recognizer	GPE
eighty years	DATE
VIEW	ORG
Conway	ORG
6th	ORDINAL
Andre Rison	PERSON
Lando Calrissian	PERSON
Ergo	PERSON
Mansons	PERSON
The Cyclone	WORK_OF_ART
Harry Tuttle	PERSON
the last winter	DATE
500 thousand	QUANTITY
the Nobel Prize	WORK_OF_ART
a half	CARDINAL
Darwin Minerva	PERSON
HarryÄÂĂÂ Ooooh	WORK_OF_ART
the North American Broadcasting System	ORG
a couple of pounds	QUANTITY
Lincoln	PERSON
Two and three	CARDINAL
Jeffrey Anderson	PERSON
only two thousand dollars	MONEY
Guy Lombardo	PERSON
thirteen months ago	DATE
Disco Boy	PERSON
the East coast	LOC
Jerses	PRODUCT
Beaumont	GPE
Mary Sampson	PERSON
4.99	CARDINAL
The Fantasy Inn	PERSON
thirty two	DATE
D.K.	GPE
Brenna	PERSON
an estimated 270	CARDINAL
One day last winter	DATE
X	PERSON
Thorwald	PERSON
The Hollywood Foreign Press	ORG
Push	PERSON
the Royal Hospital	ORG
Michael Mueller	PERSON
TV day after tomorrow	DATE
8?	DATE
"""The Night the Lights Went Out in Georgia"""	WORK_OF_ART
only last year	DATE
Thatcher	PERSON
the dozen	CARDINAL
Chub Meritt	PERSON
Key Biscayne	PERSON
Jacobi	GPE
two or three more minutes	TIME
Toby Chung	PERSON
Raspail	PERSON
the V-2 Rockets	ORG
Norrington	PERSON
18 years	DATE
Tommy	PERSON
"""the Joe Boys"""	WORK_OF_ART
three o'clock in the morning	TIME
Horror	PERSON
a few weeks ago	DATE
Madame Bonaparte	PERSON
Virgil	PERSON
Liberatis me Save me	WORK_OF_ART
Cassius	PERSON
Sting	PERSON
Oxford	ORG
Costa Brava	GPE
Captain Starfleet	ORG
Mister da Vinci	PERSON
Vernon Bundy	PERSON
A few years ago	DATE
Gus Webco	PERSON
the civil war	EVENT
Lucifer	ORG
71	CARDINAL
Roderick	PERSON
the Stork Club	ORG
Good Friday	DATE
thirty second drive	TIME
Mary Lambretta	PERSON
Ready Uncle Lex	PERSON
K.C.	GPE
""" How's that?"	WORK_OF_ART
Kumbaya	WORK_OF_ART
Eight o'clock tonight	TIME
Five more seconds	TIME
Signor Ugarte	GPE
twenty-two percent	PERCENT
Jean-Louis	GPE
Special Agent Hosty	ORG
DON'T	PERSON
Bad Boys	WORK_OF_ART
Superintendent ZIMMER	PERSON
Hospital	LOC
I like Darrell	WORK_OF_ART
A couple days	DATE
TeeeVeeeee	ORG
three hundred thousand six hundred	CARDINAL
Kev	PERSON
Promethean	NORP
Nicholai Tachlinkov	PERSON
John Levy Staff	PERSON
Milton Anglund	PERSON
Little Boy Blue	FAC
the mere two years	DATE
Anna Scott's	PERSON
the Stratosphere Hotel & Casino	ORG
850	MONEY
Mogadishu	GPE
Four years ago	DATE
Savage Henry	PERSON
Gotcha	PERSON
Krieger	PERSON
Art Mooney	PERSON
Cynthia Kruger	PERSON
Marblehead	GPE
another forty million	CARDINAL
Panda	ORG
35mm	QUANTITY
8150 Wonderland Avenue	FAC
Anaesthesia	GPE
at least lose half	CARDINAL
Valiant	ORG
Duchesses	GPE
Danny	PERSON
All week long	DATE
shootin	PERSON
Ten million	CARDINAL
Sassy	ORG
another six weeks or so	DATE
Weakness	PERSON
Gwpaapa	PERSON
Renoir	ORG
Oooh	PERSON
seven eight nine two	TIME
Just a	TIME
the New York Philharmonic	ORG
fifty-year-old	DATE
56 76	DATE
twenty year	DATE
Emilio	ORG
Masons	PERSON
Fuller Seminary	ORG
Kid Gavilan	ORG
Horn	LOC
RESPECT	ORG
Newsday	PERSON
the Five Families	ORG
Doyle Hargraves	PERSON
Edna Fender's	PERSON
"""making fuck?"	WORK_OF_ART
Sam the Bookie	PERSON
Bayswater	GPE
Hell I could take you through it step by step explain why your story stinks	WORK_OF_ART
Bye Troy	PERSON
""" You said you were going to get her out of this."	WORK_OF_ART
El Chico	FAC
Chino	PERSON
the Oasisburg Police	ORG
United Fruit	ORG
Easthampton Hospital for Women	ORG
Jake the	PERSON
the next 24 hours	TIME
Nietzsche	PERSON
Charles Redder	PERSON
Joey Doyle's	PERSON
five five	CARDINAL
Sparrow	PERSON
Quarter mile	QUANTITY
the age of 17	DATE
Woodstock	GPE
Stuff'll	PERSON
Hee-haw	PERSON
eleven years ago	DATE
if--	PERSON
The Blessed Church	ORG
two o'clock tomorrow afternoon	TIME
about thirty minutes	TIME
Funboy	ORG
Jimmy Squarefoot	PERSON
fourteen cents	MONEY
Frankie Ferchetti	PERSON
Herr Director	PERSON
George Congress	PERSON
Lauren	PERSON
the mini-mart	ORG
yuhÄÂĂÂ Shut	PERSON
Fredo	PERSON
Now what time does my plane leave Tuesday	WORK_OF_ART
Tommy Hearns	PERSON
Lateesha	ORG
Ilona	PERSON
thirty-eight years old	DATE
Bouchon	GPE
Kruger	PRODUCT
thee.&quot	ORG
Northwestern	ORG
Fiskin	PERSON
Stephen Foster	PERSON
""" Give me some leads."	WORK_OF_ART
an Emerald Seer	PERSON
6 months in a season	DATE
six week	DATE
Creek	FAC
August 4th 1997	DATE
eight seven	TIME
Lesion Lesion	PERSON
about five minutes	TIME
Goddamn Venza	PERSON
Continental	NORP
Agency	ORG
""" NO FOUR THOUSAND ONE HUNDRED AND TWELVE."	WORK_OF_ART
John Buckingham	PERSON
Cyrus	PERSON
HBO	ORG
Mummies	ORG
two thousand's	CARDINAL
James Burke	PERSON
Huh? Huh	WORK_OF_ART
Kreskin	PERSON
Jesus Christ Dewey	PERSON
Genoa	GPE
Bear	PERSON
a good week	DATE
Joan Gale's	PERSON
Vacation	GPE
Ben Meeker	PERSON
Harlan Puckett	PERSON
Sang and-Veronica?-would	PERSON
Alvy-Alvy	ORG
Sefton	PERSON
the County Commission	ORG
OC	ORG
Field	ORG
Compton	GPE
just this past year	DATE
Judith	PERSON
Connecticut	GPE
Heather Chandler Kurt Kelly	PERSON
Rene Ricard	PERSON
Listen Ted	PERSON
Haleiwa	ORG
Freddy Krueger	PERSON
proofed	PERSON
Angelina	PERSON
Dominican Russian	NORP
Screamer	PERSON
two-hundred-dollar	CARDINAL
Chechenia	GPE
9 and 11	EVENT
Bizimungu	PERSON
Dollar Store	WORK_OF_ART
PGA Tour	PRODUCT
Oakie	PERSON
nine first	DATE
Geary	PERSON
Mm-hmm	PERSON
1961	DATE
Aramis	PERSON
Fred Yoong	PERSON
Hai Alai	PERSON
Dale Ernhart's	PERSON
Eton Cambridge	PERSON
Ten year old	DATE
Bastard	GPE
8:55	TIME
Sultan	PERSON
Mueller	ORG
Dave Laller	PERSON
Ilio Manzetti	PERSON
Charingas	PERSON
Paulie Bleeker	PERSON
Landlord	PERSON
Rick	PERSON
the next ten hours	TIME
four and a half	DATE
10 million	CARDINAL
Colosimo	GPE
the Holy Grail	FAC
Listen Hawk	PERSON
Rimgale	PERSON
14 years ago	DATE
Brian Kirkland	PERSON
John Franson	PERSON
Bridgekeeper	PERSON
the Quality Cafe	FAC
Indian	NORP
Ole Pete	PERSON
Seth Silverberg	PERSON
Memory Lane	WORK_OF_ART
seven thousand miles	QUANTITY
V.P.	PERSON
Langley	ORG
MMMmmmm	ORG
Lyssa	ORG
Sweet Sue	PERSON
S.R. Hadden	PERSON
eight hundred thousand dollars	MONEY
the next two minutes	TIME
Allen Dulles	PERSON
day one	DATE
ÄÂĂÂ	PERSON
The Van Garretts	PERSON
Greek	NORP
0-200	CARDINAL
Gabor	PERSON
the Navy Cross	ORG
""" She's the prettiest y'know."	WORK_OF_ART
Charmed	PERSON
Purple Day	DATE
Mickey Cohen	PERSON
Three minutes	TIME
"""Oh Promise Me"	WORK_OF_ART
vaudevillian	NORP
Sherpas	ORG
And I	WORK_OF_ART
About three	CARDINAL
Communist	NORP
L - Room 5001	PRODUCT
September 7	DATE
a Royal Commission	ORG
XK 101	FAC
The Teller of Truths	ORG
Torso	PERSON
Norwegian Ass Raper	PERSON
X.O.	GPE
IRS	ORG
'Special People'	WORK_OF_ART
Yvonne	PERSON
Bert Parks	PERSON
Bora Bora Xander	PERSON
Swahili	NORP
A couple hours	TIME
Dede	PERSON
British	NORP
Apocalypse Now	WORK_OF_ART
the year is 1997	DATE
1898	DATE
Helsinki	ORG
About fifty miles	QUANTITY
J.J	WORK_OF_ART
"it"""""""""""""""""	ORG
"""Bay of Pigs"	WORK_OF_ART
Seventy-one	CARDINAL
CHARGE	ORG
Dayton	GPE
Baltus Van Tassel	PERSON
Delano	GPE
Kathryn	WORK_OF_ART
104%	PERCENT
The Silver Knight	PERSON
Playskool	PERSON
Luanda	PERSON
Yo Johnson	PERSON
This morning	TIME
Yoko Ono	PERSON
Bloom	PERSON
a Secret Service Agent	ORG
Threepio	ORG
Mr Gluck	PERSON
Nick?	PERSON
Catholic	NORP
the 23rd Century	DATE
about two and a half	CARDINAL
Rusesabagina	PERSON
Winter Carnival	EVENT
as many as twenty	CARDINAL
Oh Walter	PERSON
Jessie	PERSON
the Canons of Dort	EVENT
Havenbrooke	PERSON
Pina Coladas	PERSON
Warden	ORG
2224 Deep Dell Place	WORK_OF_ART
Jo Jo's	PERSON
Cockburn Stanley	PERSON
Alvy	FAC
like two weeks	DATE
Kittridge	PERSON
1990	DATE
Nick!	PERSON
Jane Fonda	PERSON
McDonalds	ORG
Shotgun	PERSON
About ten years	DATE
Jabba	PERSON
Saint Peter	PERSON
Bosnia	PERSON
John Ellis	PERSON
Miss Brown	PERSON
Patty	PERSON
Fifteen minutes to a half an hour	TIME
bettin	PERSON
Polly Perfect	FAC
$30 half hour	MONEY
Wannabes	PERSON
Mare	ORG
latte grande	PERSON
Perdido	GPE
eighteen five	CARDINAL
D'Amour	PERSON
Brad I know you don't love me now --	WORK_OF_ART
Organa Major	PERSON
Marry Mitchell	PERSON
"""Clay Bertrand"	WORK_OF_ART
two-month anniversary	DATE
Seventy-six	CARDINAL
Liberace	PERSON
Disability	ORG
Ya'll	GPE
Three days	DATE
the last hour and a half	TIME
Half now half later	DATE
Dorsia	PERSON
the JAG Corps	ORG
one hundred and twenty	CARDINAL
Eric Paice	PERSON
mah darlin' Luke	PERSON
Webber Insurance	ORG
I. That's	PERSON
Veidt	PERSON
twenty	DATE
The Shadow	WORK_OF_ART
fit in	WORK_OF_ART
- Hana	PERSON
early thirties	DATE
PX	PERSON
Goddamn Gastro's	PERSON
five-year old	DATE
Archangel de Jesus	PERSON
86	CARDINAL
around four o'clock	TIME
Lula	PERSON
Big Dave	PERSON
the northwest valley	LOC
Two miles	QUANTITY
Starfleet	GPE
Doing and Undoing	WORK_OF_ART
the Federal Building	FAC
H.M. Prison Parkmoor	ORG
one dollar	MONEY
the Levinsky Family	ORG
Boogerland	GPE
Overnight	TIME
Private Shutterbug	ORG
the Christine Jorgensen	LOC
ten years old	DATE
two-eighty	CARDINAL
Elmer	PERSON
Columbus	ORG
Edgar William Jacobi	PERSON
the Western Manhattan Warehouses	ORG
Tiger	PERSON
A week later	DATE
two thousand pounds	MONEY
Gibbons	PERSON
Pendleton	GPE
Libra	ORG
chick	PERSON
a hundred thousand dollars	MONEY
"""Wait a minute"	WORK_OF_ART
Sassoon Shark	PERSON
Mighty Mouse	PERSON
May 1939	DATE
Four year	DATE
more than five	CARDINAL
three centuries	DATE
Quack	PERSON
Jesus Davis	PERSON
Ss'loka	PERSON
Robert Morse	PERSON
Headache	PERSON
M.J.	GPE
they're--	GPE
Jews Kyle	PERSON
About two hundred	CARDINAL
Whoopi	GPE
Moe Green	PERSON
Miguel	LOC
Carnegie-Melon Ivy League	ORG
Figaro	ORG
we_re	DATE
Stanley Moss Ladeesngennlmen	PERSON
The Age of Ragnarok	PERSON
Dave Novotny	PERSON
Lyla Branch	PERSON
Silicone	ORG
Hill Street Blues	FAC
Cora Munro	PERSON
heads'll	GPE
Bloomfield Hills	GPE
Melanie Melanie	PERSON
Cotton Weary	PERSON
ONE week	DATE
Yon	PERSON
Kirk Epsilon	PERSON
Sixth Amendment	LAW
Kabuki	GPE
Tom Christie	PERSON
Doc Long's	PERSON
Fort Knox	FAC
50-mile	QUANTITY
Leeman	PERSON
Felton	GPE
Evian	NORP
Margie	PERSON
Debbie Klein	PERSON
Sean	PERSON
thirty cents	MONEY
""" That's what I been telling everybody!"	WORK_OF_ART
Lutece	PERSON
Aboukir	ORG
Lieutennt Hurwitz	PERSON
Myrna Goldfarb	PERSON
Post	ORG
Perdita Gardiner	PERSON
Forty-three days	DATE
eighty thousand bucks	MONEY
Hiss	PERSON
Marie	PERSON
A three-second	CARDINAL
Fox	PERSON
a million and a half to one	CARDINAL
Nikes	ORG
